arrival_date,arrival_date_day_of_month,arrival_date_month,arrival_date_year,arrival_date_id
2015-07-01,1,July,2015,1
2015-07-02,2,July,2015,2
2015-07-03,3,July,2015,3
2015-07-04,4,July,2015,4
2015-07-05,5,July,2015,5
2015-07-06,6,July,2015,6
2015-07-07,7,July,2015,7
2015-07-08,8,July,2015,8
2015-07-09,9,July,2015,9
2015-07-10,10,July,2015,10
2015-07-11,11,July,2015,11
2015-07-12,12,July,2015,12
2015-07-13,13,July,2015,13
2015-07-14,14,July,2015,14
2015-07-15,15,July,2015,15
2015-07-16,16,July,2015,16
2015-07-17,17,July,2015,17
2015-07-18,18,July,2015,18
2015-07-19,19,July,2015,19
2015-07-20,20,July,2015,20
2015-07-21,21,July,2015,21
2015-07-22,22,July,2015,22
2015-07-23,23,July,2015,23
2015-07-24,24,July,2015,24
2015-07-25,25,July,2015,25
2015-07-26,26,July,2015,26
2015-07-27,27,July,2015,27
2015-07-28,28,July,2015,28
2015-07-29,29,July,2015,29
2015-07-30,30,July,2015,30
2015-07-31,31,July,2015,31
2015-08-01,1,August,2015,32
2015-08-02,2,August,2015,33
2015-08-03,3,August,2015,34
2015-08-04,4,August,2015,35
2015-08-05,5,August,2015,36
2015-08-06,6,August,2015,37
2015-08-07,7,August,2015,38
2015-08-08,8,August,2015,39
2015-08-09,9,August,2015,40
2015-08-10,10,August,2015,41
2015-08-11,11,August,2015,42
2015-08-12,12,August,2015,43
2015-08-13,13,August,2015,44
2015-08-14,14,August,2015,45
2015-08-15,15,August,2015,46
2015-08-16,16,August,2015,47
2015-08-17,17,August,2015,48
2015-08-18,18,August,2015,49
2015-08-19,19,August,2015,50
2015-08-20,20,August,2015,51
2015-08-21,21,August,2015,52
2015-08-22,22,August,2015,53
2015-08-23,23,August,2015,54
2015-08-24,24,August,2015,55
2015-08-25,25,August,2015,56
2015-08-26,26,August,2015,57
2015-08-27,27,August,2015,58
2015-08-28,28,August,2015,59
2015-08-29,29,August,2015,60
2015-08-30,30,August,2015,61
2015-08-31,31,August,2015,62
2015-09-01,1,September,2015,63
2015-09-02,2,September,2015,64
2015-09-03,3,September,2015,65
2015-09-04,4,September,2015,66
2015-09-05,5,September,2015,67
2015-09-06,6,September,2015,68
2015-09-07,7,September,2015,69
2015-09-08,8,September,2015,70
2015-09-09,9,September,2015,71
2015-09-10,10,September,2015,72
2015-09-11,11,September,2015,73
2015-09-12,12,September,2015,74
2015-09-13,13,September,2015,75
2015-09-14,14,September,2015,76
2015-09-15,15,September,2015,77
2015-09-16,16,September,2015,78
2015-09-17,17,September,2015,79
2015-09-18,18,September,2015,80
2015-09-19,19,September,2015,81
2015-09-20,20,September,2015,82
2015-09-21,21,September,2015,83
2015-09-22,22,September,2015,84
2015-09-23,23,September,2015,85
2015-09-24,24,September,2015,86
2015-09-25,25,September,2015,87
2015-09-26,26,September,2015,88
2015-09-27,27,September,2015,89
2015-09-28,28,September,2015,90
2015-09-29,29,September,2015,91
2015-09-30,30,September,2015,92
2015-10-01,1,October,2015,93
2015-10-02,2,October,2015,94
2015-10-03,3,October,2015,95
2015-10-04,4,October,2015,96
2015-10-05,5,October,2015,97
2015-10-06,6,October,2015,98
2015-10-07,7,October,2015,99
2015-10-08,8,October,2015,100
2015-10-09,9,October,2015,101
2015-10-10,10,October,2015,102
2015-10-11,11,October,2015,103
2015-10-12,12,October,2015,104
2015-10-13,13,October,2015,105
2015-10-14,14,October,2015,106
2015-10-15,15,October,2015,107
2015-10-16,16,October,2015,108
2015-10-17,17,October,2015,109
2015-10-18,18,October,2015,110
2015-10-19,19,October,2015,111
2015-10-20,20,October,2015,112
2015-10-21,21,October,2015,113
2015-10-22,22,October,2015,114
2015-10-23,23,October,2015,115
2015-10-24,24,October,2015,116
2015-10-25,25,October,2015,117
2015-10-26,26,October,2015,118
2015-10-27,27,October,2015,119
2015-10-28,28,October,2015,120
2015-10-29,29,October,2015,121
2015-10-30,30,October,2015,122
2015-10-31,31,October,2015,123
2015-11-01,1,November,2015,124
2015-11-02,2,November,2015,125
2015-11-03,3,November,2015,126
2015-11-04,4,November,2015,127
2015-11-05,5,November,2015,128
2015-11-06,6,November,2015,129
2015-11-07,7,November,2015,130
2015-11-08,8,November,2015,131
2015-11-09,9,November,2015,132
2015-11-10,10,November,2015,133
2015-11-11,11,November,2015,134
2015-11-12,12,November,2015,135
2015-11-13,13,November,2015,136
2015-11-14,14,November,2015,137
2015-11-15,15,November,2015,138
2015-11-16,16,November,2015,139
2015-11-17,17,November,2015,140
2015-11-18,18,November,2015,141
2015-11-19,19,November,2015,142
2015-11-20,20,November,2015,143
2015-11-21,21,November,2015,144
2015-11-23,23,November,2015,145
2015-11-24,24,November,2015,146
2015-11-25,25,November,2015,147
2015-11-26,26,November,2015,148
2015-11-27,27,November,2015,149
2015-11-28,28,November,2015,150
2015-11-29,29,November,2015,151
2015-11-30,30,November,2015,152
2015-12-01,1,December,2015,153
2015-12-02,2,December,2015,154
2015-12-03,3,December,2015,155
2015-12-04,4,December,2015,156
2015-12-05,5,December,2015,157
2015-12-06,6,December,2015,158
2015-12-07,7,December,2015,159
2015-12-08,8,December,2015,160
2015-12-10,10,December,2015,161
2015-12-11,11,December,2015,162
2015-12-12,12,December,2015,163
2015-12-13,13,December,2015,164
2015-12-14,14,December,2015,165
2015-12-17,17,December,2015,166
2015-12-18,18,December,2015,167
2015-12-19,19,December,2015,168
2015-12-20,20,December,2015,169
2015-12-21,21,December,2015,170
2015-12-22,22,December,2015,171
2015-12-23,23,December,2015,172
2015-12-24,24,December,2015,173
2015-12-25,25,December,2015,174
2015-12-26,26,December,2015,175
2015-12-27,27,December,2015,176
2015-12-28,28,December,2015,177
2015-12-29,29,December,2015,178
2015-12-30,30,December,2015,179
2015-12-31,31,December,2015,180
2016-01-01,1,January,2016,181
2016-01-02,2,January,2016,182
2016-01-03,3,January,2016,183
2016-01-04,4,January,2016,184
2016-01-05,5,January,2016,185
2016-01-06,6,January,2016,186
2016-01-07,7,January,2016,187
2016-01-08,8,January,2016,188
2016-01-09,9,January,2016,189
2016-01-10,10,January,2016,190
2016-01-12,12,January,2016,191
2016-01-13,13,January,2016,192
2016-01-14,14,January,2016,193
2016-01-15,15,January,2016,194
2016-01-16,16,January,2016,195
2016-01-17,17,January,2016,196
2016-01-18,18,January,2016,197
2016-01-19,19,January,2016,198
2016-01-21,21,January,2016,199
2016-01-22,22,January,2016,200
2016-01-23,23,January,2016,201
2016-01-25,25,January,2016,202
2016-01-26,26,January,2016,203
2016-01-27,27,January,2016,204
2016-01-28,28,January,2016,205
2016-01-29,29,January,2016,206
2016-01-30,30,January,2016,207
2016-01-31,31,January,2016,208
2016-02-01,1,February,2016,209
2016-02-02,2,February,2016,210
2016-02-03,3,February,2016,211
2016-02-04,4,February,2016,212
2016-02-05,5,February,2016,213
2016-02-06,6,February,2016,214
2016-02-07,7,February,2016,215
2016-02-08,8,February,2016,216
2016-02-09,9,February,2016,217
2016-02-10,10,February,2016,218
2016-02-11,11,February,2016,219
2016-02-12,12,February,2016,220
2016-02-13,13,February,2016,221
2016-02-14,14,February,2016,222
2016-02-15,15,February,2016,223
2016-02-16,16,February,2016,224
2016-02-17,17,February,2016,225
2016-02-18,18,February,2016,226
2016-02-19,19,February,2016,227
2016-02-20,20,February,2016,228
2016-02-21,21,February,2016,229
2016-02-22,22,February,2016,230
2016-02-23,23,February,2016,231
2016-02-24,24,February,2016,232
2016-02-25,25,February,2016,233
2016-02-26,26,February,2016,234
2016-02-27,27,February,2016,235
2016-02-28,28,February,2016,236
2016-02-29,29,February,2016,237
2016-03-01,1,March,2016,238
2016-03-02,2,March,2016,239
2016-03-03,3,March,2016,240
2016-03-04,4,March,2016,241
2016-03-05,5,March,2016,242
2016-03-07,7,March,2016,243
2016-03-08,8,March,2016,244
2016-03-09,9,March,2016,245
2016-03-10,10,March,2016,246
2016-03-11,11,March,2016,247
2016-03-12,12,March,2016,248
2016-03-13,13,March,2016,249
2016-03-14,14,March,2016,250
2016-03-15,15,March,2016,251
2016-03-16,16,March,2016,252
2016-03-17,17,March,2016,253
2016-03-18,18,March,2016,254
2016-03-19,19,March,2016,255
2016-03-20,20,March,2016,256
2016-03-21,21,March,2016,257
2016-03-22,22,March,2016,258
2016-03-23,23,March,2016,259
2016-03-24,24,March,2016,260
2016-03-25,25,March,2016,261
2016-03-26,26,March,2016,262
2016-03-27,27,March,2016,263
2016-03-28,28,March,2016,264
2016-03-29,29,March,2016,265
2016-03-30,30,March,2016,266
2016-03-31,31,March,2016,267
2016-04-01,1,April,2016,268
2016-04-02,2,April,2016,269
2016-04-03,3,April,2016,270
2016-04-04,4,April,2016,271
2016-04-05,5,April,2016,272
2016-04-06,6,April,2016,273
2016-04-07,7,April,2016,274
2016-04-08,8,April,2016,275
2016-04-09,9,April,2016,276
2016-04-10,10,April,2016,277
2016-04-11,11,April,2016,278
2016-04-12,12,April,2016,279
2016-04-13,13,April,2016,280
2016-04-14,14,April,2016,281
2016-04-15,15,April,2016,282
2016-04-16,16,April,2016,283
2016-04-17,17,April,2016,284
2016-04-18,18,April,2016,285
2016-04-19,19,April,2016,286
2016-04-20,20,April,2016,287
2016-04-21,21,April,2016,288
2016-04-22,22,April,2016,289
2016-04-23,23,April,2016,290
2016-04-24,24,April,2016,291
2016-04-25,25,April,2016,292
2016-04-26,26,April,2016,293
