adults,children,babies,total_guests,guest_type_id
1,0.0,0,1.0,1
2,0.0,0,2.0,2
2,1.0,0,3.0,3
3,0.0,0,3.0,4
2,2.0,0,4.0,5
1,2.0,0,3.0,6
2,0.0,1,3.0,7
4,0.0,0,4.0,8
3,2.0,0,5.0,9
2,0.0,2,4.0,10
2,1.0,1,4.0,11
3,1.0,0,4.0,12
2,10.0,0,12.0,13
1,1.0,0,2.0,14
1,0.0,1,2.0,15
6,0.0,0,6.0,16
5,0.0,0,5.0,17
10,0.0,0,10.0,18
2,2.0,1,5.0,19
1,2.0,1,4.0,20
2,3.0,0,5.0,21
3,0.0,1,4.0,22
1,3.0,0,4.0,23
4,1.0,0,5.0,24
4,0.0,1,5.0,25
3,1.0,1,5.0,26
1,1.0,1,3.0,27
0,2.0,1,3.0,28
2,0.0,10,12.0,29
1,0.0,9,10.0,30
2,1.0,2,5.0,31
