assigned_room_type,reserved_room_type,meal,required_car_parking_spaces,reservation_details_id
C,A,BB,0,1
A,A,BB,0,2
C,C,BB,0,3
C,C,FB,0,4
D,D,HB,0,5
E,E,BB,0,6
E,D,BB,0,7
G,G,HB,0,8
E,A,BB,0,9
G,A,BB,0,10
G,G,BB,0,11
F,F,BB,0,12
D,D,BB,0,13
I,D,HB,0,14
D,D,BB,1,15
E,E,HB,0,16
B,A,HB,0,17
F,E,HB,0,18
C,A,BB,1,19
H,H,BB,1,20
C,C,BB,1,21
H,H,BB,0,22
D,A,BB,0,23
E,E,BB,1,24
A,A,HB,0,25
H,G,BB,1,26
A,A,BB,1,27
G,H,BB,1,28
C,D,BB,0,29
G,E,BB,0,30
H,H,FB,0,31
G,G,HB,2,32
E,D,BB,1,33
D,A,BB,1,34
C,C,HB,1,35
C,D,BB,1,36
G,G,BB,1,37
G,G,HB,1,38
F,D,BB,1,39
E,A,HB,0,40
F,F,HB,1,41
C,A,HB,1,42
C,A,HB,0,43
F,F,HB,0,44
E,D,HB,0,45
F,A,BB,1,46
F,E,BB,0,47
F,F,FB,0,48
A,A,HB,1,49
D,D,HB,1,50
E,E,HB,1,51
A,A,FB,0,52
A,A,FB,1,53
E,F,BB,0,54
B,A,BB,0,55
H,L,BB,0,56
F,E,HB,1,57
C,D,HB,0,58
D,D,FB,0,59
G,H,HB,1,60
C,A,FB,0,61
D,A,FB,0,62
F,A,FB,0,63
E,A,FB,0,64
F,A,BB,0,65
F,D,BB,0,66
C,L,BB,0,67
C,C,HB,0,68
D,A,HB,0,69
G,D,BB,0,70
F,E,BB,1,71
E,A,HB,1,72
F,D,HB,0,73
E,A,BB,1,74
H,H,HB,0,75
H,A,BB,0,76
C,C,FB,1,77
F,L,BB,0,78
C,G,HB,1,79
H,G,BB,0,80
D,A,HB,1,81
E,E,FB,1,82
E,D,HB,1,83
D,D,FB,1,84
E,E,FB,0,85
H,A,BB,1,86
G,D,HB,0,87
B,A,FB,0,88
I,G,BB,0,89
