stays_in_weekend_nights,stays_in_week_nights,total_nights,nights_stayed_id
0,1,1,1
0,2,2,2
0,3,3,3
0,4,4,4
1,4,5,5
2,4,6,6
2,5,7,7
4,10,14,8
4,11,15,9
2,8,10,10
1,3,4,11
2,3,5,12
3,8,11,13
1,2,3,14
2,2,4,15
2,6,8,16
2,7,9,17
3,7,10,18
6,15,21,19
2,1,3,20
4,6,10,21
1,1,2,22
1,0,1,23
2,0,2,24
4,5,9,25
4,7,11,26
1,5,6,27
3,5,8,28
0,5,5,29
4,9,13,30
3,6,9,31
2,9,11,32
4,8,12,33
2,10,12,34
6,12,18,35
13,33,46,36
8,20,28,37
3,9,12,38
5,12,17,39
5,14,19,40
7,15,22,41
7,16,23,42
5,11,16,43
3,10,13,44
8,21,29,45
6,13,19,46
12,30,42,47
5,15,20,48
7,19,26,49
4,13,17,50
6,11,17,51
9,24,33,52
4,12,16,53
5,10,15,54
9,21,30,55
5,13,18,56
16,40,56,57
6,19,25,58
8,22,30,59
4,14,18,60
8,19,27,61
18,42,60,62
19,50,69,63
10,25,35,64
6,17,23,65
13,32,45,66
6,16,22,67
12,26,38,68
9,20,29,69
4,15,19,70
6,14,20,71
6,18,24,72
7,20,27,73
7,18,25,74
7,17,24,75
14,34,48,76
8,18,26,77
10,20,30,78
8,16,24,79
6,10,16,80
14,35,49,81
16,41,57,82
9,25,34,83
13,30,43,84
