lead_time,days_in_waiting_list,adr,revenue,total_of_special_requests,booking_changes,is_canceled,customer_type_id,guest_type_id,hotel_id,arrival_date_id,nights_stayed_id,reservation_details_id,market_key,guests_info_id,reservation_status_id,deposit_type_id,primary_key
7,0,75.0,75.0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
13,0,75.0,75.0,0,0,0,1,1,1,1,1,2,2,2,1,1,2
14,0,98.0,196.0,1,0,0,1,2,1,1,2,2,3,3,1,1,3
14,0,98.0,196.0,1,0,0,1,2,1,1,2,2,3,4,1,1,4
0,0,107.0,214.0,0,0,0,2,2,1,1,2,3,1,5,1,1,5
9,0,103.0,206.0,1,0,0,2,2,1,1,2,4,4,6,1,1,6
85,0,82.0,0.0,1,0,1,2,2,1,1,3,2,3,7,2,1,7
75,0,105.5,0.0,0,0,1,2,2,1,1,3,5,5,8,2,1,8
23,0,123.0,0.0,0,0,1,2,2,1,1,4,6,3,9,2,1,9
35,0,145.0,580.0,0,0,0,2,2,1,1,4,5,3,10,1,1,10
68,0,97.0,388.0,3,0,0,1,2,1,1,4,7,3,11,1,1,11
18,0,154.77,619.08,1,1,0,1,3,1,1,4,8,6,12,1,1,12
37,0,94.71,378.84,0,0,0,2,2,1,1,4,6,6,13,1,1,13
68,0,97.0,388.0,3,0,0,1,2,1,1,4,7,3,14,1,1,14
37,0,97.5,390.0,0,0,0,3,2,1,1,4,6,7,15,1,1,15
12,0,88.2,88.2,0,0,0,1,2,1,1,1,9,3,16,1,1,16
0,0,107.42,107.42,0,0,0,1,2,1,1,1,10,8,17,1,1,17
7,0,153.0,612.0,1,0,0,1,2,1,1,4,11,9,18,1,1,18
37,0,97.29,486.45000000000005,1,0,0,1,1,1,1,5,12,6,19,1,1,19
72,0,84.67,508.02,1,1,0,2,2,1,1,6,2,9,20,1,1,20
72,0,84.67,508.02,1,1,0,2,2,1,1,6,2,9,21,1,1,21
72,0,99.67,598.02,1,1,0,2,2,1,1,6,13,9,22,1,1,22
127,0,94.95,664.65,1,0,0,4,2,1,1,7,14,10,23,1,1,23
78,0,63.6,445.2,0,0,0,2,2,1,1,7,15,11,24,1,1,24
48,0,79.5,556.5,0,0,0,4,2,1,1,7,13,7,25,1,1,25
60,0,107.0,0.0,2,0,1,2,2,1,1,7,6,3,26,2,1,26
77,0,94.0,658.0,0,0,0,2,2,1,1,7,2,3,27,1,1,27
99,0,87.3,611.1,1,0,0,2,2,1,1,7,15,3,28,1,1,28
118,0,62.0,868.0,2,2,0,1,1,1,1,8,2,1,29,1,1,29
95,0,63.86,957.9,0,0,0,1,2,1,1,9,13,12,30,1,1,30
96,0,108.3,0.0,2,0,1,2,2,1,1,10,6,1,31,2,1,31
69,0,65.5,393.0,0,0,0,1,2,1,2,6,1,13,32,1,1,32
45,0,108.8,0.0,1,0,1,2,4,1,2,11,13,6,33,2,1,33
40,0,108.8,0.0,1,0,1,2,4,1,2,11,13,6,34,2,1,34
15,0,98.0,392.0,0,0,0,1,2,1,2,11,1,3,35,1,1,35
36,0,108.8,435.2,1,0,0,2,4,1,2,11,13,6,36,1,1,36
43,0,108.8,0.0,0,0,1,2,4,1,2,11,13,6,37,2,1,37
70,0,137.0,685.0,1,0,0,1,2,1,2,12,16,9,38,1,1,38
